294:0.001
303:0.001
312:0.002
322:0.006
333:0.007
344:0.009
357:0.018
370:0.017
384:0.038
400:0.049
416:0.037
434:0.052
454:0.069
476:0.084
500:0.094
526:0.099
555:0.086
588:0.081
625:0.076
666:0.048
714:0.045
769:0.044
833:0.022
909:0.004
1000:0.004
1111:0.004
1250:0.002
1428:0.001
